scenario,ticker,model,mae_val,rmse_val,mae_test,rmse_test,rmse_test_low_vol,rmse_test_mid_vol,rmse_test_high_vol
in_domain,IBM,ARIMA,0.013623114866806807,0.021079292305262027,0.010174420762018726,0.01496444593146915,0.009257505895905124,0.011987309101926177,0.020890038682058545
in_domain,IBM,Prophet,0.013611956832310531,0.021053257823629636,0.010197463607400694,0.015020094883177054,0.00932022943525484,0.01203178409358163,0.020955548450933864
in_domain,IBM,FFNN,0.0135826998431896,0.020920864302554177,0.010221327166101479,0.015004509188911885,0.016920184219399906,0.012000043225157499,0.01563072676274508
in_domain,IBM,LSTM,0.014111877845936165,0.021256640745597605,0.0105715668783219,0.015437294507585998,0.016743624838636527,0.012532156982906948,0.016614884487567656
in_domain,NVDA,ARIMA,0.023568458668426565,0.03267676366683089,0.026225758103162224,0.03500792090596885,0.022141577274592823,0.033350731989657934,0.04526169857480669
in_domain,NVDA,Prophet,0.02365724705414683,0.03259609376224414,0.026096582428349776,0.03485989909132223,0.022380933592716028,0.033016894330210635,0.04504854017983459
in_domain,NVDA,FFNN,0.02357368279106703,0.03271447389529588,0.026438778006646464,0.03536358859660937,0.03001078536600564,0.038073751624339645,0.03737584484447935
in_domain,NVDA,LSTM,0.024612807330627488,0.0336920776205531,0.027513357932038685,0.03650638468344182,0.031364368177676204,0.039161144476289766,0.03843909790655742
in_domain,Nike,ARIMA,0.014374645941791074,0.022110106190045498,0.015234300904839244,0.02312170820900041,0.012711382908744455,0.019461620362224666,0.03237652692897223
in_domain,Nike,Prophet,0.014468355487456347,0.02218726181437572,0.01539205322713938,0.023233417229876808,0.01288612418603145,0.01958777599793383,0.03247071866009959
in_domain,Nike,FFNN,0.01438208382804636,0.022248259854628995,0.01543534026310983,0.023309028375526,0.021360880421187025,0.02383052319986528,0.024578089325308757
in_domain,Nike,LSTM,0.015050261451605587,0.023211372599862737,0.01575802360829325,0.02367931991645411,0.021866928789492618,0.02395189274876965,0.02506527801172083
